Epoch,MJD,"Freq
(GHz)","Flux
(mJy)","eFlux
(mJy)",Program,"Reduced
by",UT Date,Config,Notes
1,56747.5,29.5,6.42,0.0217,13B-057,Justin,3/31/2014,A,"3-bit obs., JMFIT, dowidth -1"
 , ,35,5.12,0.0281, , , , ,"3-bit obs., JMFIT, dowidth -1"
 , , , , , , , , , 
2a,56757.5,1.26,14.9,0.0489,13B-057,Justin,4/10/2014,A,"JMFIT, dowidth -1"
 , ,1.73,15.3,0.0413, , , , ,"JMFIT, dowidth -1"
 , ,4.55,13.3,0.0093, , , , ,"JMFIT, dowidth -1"
 , ,7.38,10.5,0.0061, , , , ,"JMFIT, dowidth -1"
 , , , , , , , , , 
2b,56759.5,13.5,6.44,0.0183,13B-057,Justin,4/12/2014,A,"JMFIT, dowidth -1"
 , ,17.5,5.19,0.0241, , , , ,"JMFIT, dowidth -1"
 , ,29.5,2.38,0.0207, , , , ,"3-bit obs., JMFIT, dowidth -1"
 , ,35,1.58,0.0226, , , , ,"3-bit obs., JMFIT, dowidth -1"
 , , , , , , , , , 
3a,56768.4,13.5,4.59,0.0132,13B-057,Justin,4/21/2014,A,"JMFIT, dowidth -1"
 , ,17.5,3.98,0.0178, , , , ,"JMFIT, dowidth -1"
 , ,29.5,2.05,0.029, , , , ,"3-bit obs., missing IF 64, JMFIT, dowidth -1"
 , ,35,1.51,0.0297, , , , ,"3-bit obs., missing IF 64, JMFIT, dowidth -1"
 , , , , , , , , , 
3b,56768.4,1.26,10.998,0.056,13B-057,Justin,4/21/2014,A,"JMFIT, dowidth -1"
 , ,1.83,9.67,0.0416, , , , ,"JMFIT, dowidth -1"
 , ,4.55,7.69,0.0136, , , , ,"JMFIT, dowidth -1"
 , ,7.38,6.16,0.0101, , , , ,"JMFIT, dowidth -1"
 , , , , , , , , , 
4a,56774.4,1.26,9.64,0.0464,13B-057,Justin,4/27/2014,A,"JMFIT, dowidth -1"
 , ,1.83,8.07,0.0367, , , , ,"JMFIT, dowidth -1"
 , ,4.55,6.01,0.0146, , , , ,"JMFIT, dowidth -1"
 , ,7.38,3.79,0.0257, , , , ,"JMFIT, dowidth -1"
 , , , , , , , , , 
4b,56776.4,13.5,3.51,0.0121,13B-057,Justin,4/29/2014,A,"JMFIT, dowidth -1"
 , ,17.5,3.02,0.0159, , , , ,"JMFIT, dowidth -1"
 , ,29.5,1.93,0.0227, , , , ,"3-bit obs., JMFIT, dowidth -1"
 , ,35,1.496,0.0266, , , , ,"3-bit obs., JMFIT, dowidth -1"
 , , , , , , , , , 
5a,56788.3,1.26,7.29,0.0473,13B-057,Justin,5/11/2014,A,"JMFIT, dowidth -1"
 , ,1.73,6,0.0447, , , , ,"JMFIT, dowidth -1"
 , ,4.55,3.58,0.0246, , , , ,"JMFIT, dowidth -1"
 , ,7.38,1.77,0.0223, , , , ,"JMFIT, dowidth -1"
 , , , , , , , , , 
5b,56790.4,13.5,2.4,0.0117,13B-057,Justin,5/13/2014,A,"JMFIT, dowidth -1"
 , ,17.5,2.05,0.015, , , , ,"JMFIT, dowidth -1"
 , ,29.5,1.01,0.0203, , , , ,"3-bit obs. JMFIT, dowidth -1"
 , ,35,0.675,0.0236, , , , ,"3-bit obs. JMFIT, dowidth -1"
 , , , , , , , , , 
6a,56821.3,1.26,2.75,0.0824,13B-057,Justin,6/13/2014,A->D (move),"JMFIT, dowidth -1"
 , ,1.73,2.97,0.0738, , , , ,"JMFIT, dowidth -1"
 , ,4.55,1.11,0.0593, , , , ,"JMFIT, dowidth -1"
 , ,7.38,0.571,0.047, , , , ,"JMFIT, dowidth -1"
 , , , , , , , , , 
6b,56827.2,13.5,1.197,0.0465,13B-057,Justin,6/19/2014,A->D (move),"had to cut out long baselines, JMFIT, dowidth -1"
 , ,17.5,1.15,0.0541, , , , ,"had to cut out long baselines, JMFIT, dowidth -1"
 , ,29.5,0.433,0.0625, , , , ,"3-bit obs., had to cut out long baselines, JMFIT, dowidth -1"
 , ,35,0.294,0.063, , , , ,"3-bit obs., had to cut out long baselines, JMFIT, dowidth -1"
 , , , , , , , , , 
7a,56841.2,1.26,3.53,0.0426,13B-057,Justin,7/3/2014,D,"JMFIT, dowidth -1"
